Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
13-MAR-2020,2016.15,2253.75,1896.9,2234.4,120099134,1120.05
16-MAR-2020,2126.4,2144.35,2080.55,2101.05,92274754,1247.18
17-MAR-2020,2088.2,2105.65,2030.9,2034.85,76385368,1070.82
18-MAR-2020,2053.8,2068.4,1902.35,1922.9,81140745,982.32
19-MAR-2020,1814.2,1854.95,1757.95,1812.65,79980276,1085.5
20-MAR-2020,1823.3,1899.4,1801.5,1868.9,114385267,1038.56
23-MAR-2020,1686.5,1734.95,1609.4,1611.85,43098950,559.72
24-MAR-2020,1667.45,1691.45,1545.45,1610.9,62383271,722.96
25-MAR-2020,1585.9,1670.75,1572.9,1661.6,52502898,634.77
26-MAR-2020,1684.55,1763.7,1669.4,1707.5,88729179,953.93
27-MAR-2020,1761.95,1806.25,1713.85,1726.45,90960161,820.44
30-MAR-2020,1694.55,1712.35,1658.05,1690.75,60318955,516.78
31-MAR-2020,1733.15,1749.05,1708.8,1743.15,80804451,699.61
01-APR-2020,1746.6,1750.05,1696,1702,62498099,628.34
03-APR-2020,1715.4,1719.85,1654.55,1658.95,68360170,613.01
07-APR-2020,1712.4,1723.9,1697.3,1718.8,82129904,808.88
08-APR-2020,1721.65,1788.7,1711.5,1747.45,98731957,942.12
09-APR-2020,1785.25,1816.85,1784.6,1812.75,98303166,1048.92
13-APR-2020,1832.25,1833.7,1768.3,1801.6,132676938,951.44
15-APR-2020,1823.25,1872.85,1814.6,1835,159053737,1985.02
16-APR-2020,1838.55,1890.45,1830.2,1881.8,108543635,1083.38
17-APR-2020,1943.05,1953.5,1917.25,1950.35,141612885,1442.75
20-APR-2020,1980.85,1981.7,1943.85,1946.6,109273496,1219.15
21-APR-2020,1911,1912.8,1853.55,1859.4,106374723,993.14
22-APR-2020,1861.3,1869.25,1830.3,1864.7,100071794,960.62
23-APR-2020,1880.9,1908.3,1876.65,1900.35,135809195,1217.67
24-APR-2020,1886.55,1894.85,1860.15,1862.3,123320083,1206.78
27-APR-2020,1886.55,1892.7,1871.95,1876.85,81870479,1237.9
28-APR-2020,1899.5,1902.75,1865.1,1897.6,84304766,1284.43
29-APR-2020,1914.45,1932.3,1902.95,1916.05,98994677,1510.5
30-APR-2020,1953.5,1967.6,1919.2,1924.65,122071874,1879.95
04-MAY-2020,1882.55,1883.5,1859.9,1869.3,80406846,1183.59
05-MAY-2020,1888.05,1901.95,1835.3,1838.3,72706747,1211.24
06-MAY-2020,1851.9,1859.95,1826.2,1850.7,85430170,1708.11
07-MAY-2020,1848.45,1871.6,1846.1,1860.95,67289503,1274.91
08-MAY-2020,1882.5,1891.6,1843.8,1847.45,69252830,988.21
11-MAY-2020,1869.7,1878.3,1845.05,1848.4,67099278,913.66
12-MAY-2020,1846.95,1850.45,1812.9,1841.65,109037154,913.99
13-MAY-2020,1918.15,1918.9,1863.25,1877.1,137615867,1167.25
14-MAY-2020,1865.85,1880.7,1853.45,1859.7,102023071,1042.51
15-MAY-2020,1867.35,1869.1,1845.1,1854.4,79374877,1157.41
18-MAY-2020,1856.95,1859.2,1779.05,1787.8,94107100,1177.79
19-MAY-2020,1804.55,1815,1784.2,1795.9,87594936,1305.14
20-MAY-2020,1798.45,1815.5,1795.35,1812.2,75590653,1182.98
21-MAY-2020,1816.2,1838.1,1816.05,1823,78675271,1137.63
22-MAY-2020,1824.2,1838.45,1807.8,1812.15,85357337,1250.32
26-MAY-2020,1825.1,1830.95,1815.9,1827.5,59597982,755.03
27-MAY-2020,1835.85,1842.95,1820.5,1840.45,74012781,945.25
28-MAY-2020,1852.05,1865.6,1851.9,1859.45,109054610,1109.78
29-MAY-2020,1856.8,1883.8,1851.55,1879.45,153757032,1425.2
01-JUN-2020,1914.35,1951,1912.7,1939.75,173935381,1753.88
02-JUN-2020,1961.1,1995.45,1952,1990,151730573,1758.59
03-JUN-2020,2023.45,2038.4,2006.65,2014.2,123455204,1707.19
04-JUN-2020,2022.55,2034.95,1992.2,2009.45,99712385,1444.94
05-JUN-2020,2033.2,2090.7,2031.85,2085.1,195163744,2692.49
08-JUN-2020,2130.55,2141.5,2097.9,2110.4,192406734,2885.73
09-JUN-2020,2122.2,2126.1,2062.2,2074.45,128873677,2174.04
10-JUN-2020,2080.4,2085.2,2055.25,2074.4,125408415,1840.22
11-JUN-2020,2079.45,2103.1,2053.55,2057.85,159302505,2515.89
12-JUN-2020,1969.8,2059,1969.8,2055.6,168404585,1432.02
15-JUN-2020,2067.2,2090.6,2058.25,2071.8,138722870,1314.66
16-JUN-2020,2111.55,2117.5,2029.95,2065.3,143836784,1462.97
17-JUN-2020,2056.4,2089.65,2050.65,2076.2,103667150,1292.81
18-JUN-2020,2083.85,2111.05,2081.4,2108.25,142636463,1382.17
19-JUN-2020,2126.95,2146.8,2118.7,2137,170592316,1625.08
22-JUN-2020,2161.1,2189.65,2158.2,2185.95,185577898,1795.99
23-JUN-2020,2203.7,2226.35,2183.25,2222.5,177750267,2034.84
24-JUN-2020,2241.65,2257.35,2182.45,2186.55,234265245,2338.45
25-JUN-2020,2172.1,2208.3,2163.25,2205.25,148797776,1358.05
26-JUN-2020,2227.05,2234.85,2209.2,2213.85,88397869,1439.22
29-JUN-2020,2209.4,2209.95,2167.9,2187.4,101376375,2391.4
30-JUN-2020,2200.3,2208.35,2167.8,2178.2,68941793,1486.23
01-JUL-2020,2181.75,2201.85,2165.05,2199.15,76184538,1443.57
02-JUL-2020,2222.4,2228,2210.2,2212.8,98157255,1472.9
03-JUL-2020,2226.25,2228.4,2204.25,2212.9,73368537,1149.87
06-JUL-2020,2229.2,2254.85,2227.6,2253.75,120095432,1741.58
07-JUL-2020,2265.35,2279.8,2252.95,2276.6,205931330,2156.68
08-JUL-2020,2286.3,2301.05,2264.45,2269.1,151492380,1537.03
09-JUL-2020,2281.2,2294,2277.55,2290.6,91397073,1362.67
10-JUL-2020,2286,2301.85,2268.6,2286.05,92497660,1444.88
13-JUL-2020,2302.15,2306.5,2277.9,2286.25,69581685,1285.21
14-JUL-2020,2280.55,2283.2,2232.45,2252.6,82944840,1184.39
15-JUL-2020,2268.55,2288.55,2248.4,2254.5,85050015,1151.95
16-JUL-2020,2263.25,2266,2231.75,2250.05,64894102,958.99
17-JUL-2020,2260.4,2284.45,2257.6,2281.2,116793284,1697.31
20-JUL-2020,2298.15,2312.65,2294.1,2308.75,104569545,1316.07
21-JUL-2020,2324.95,2338.7,2320.85,2324.05,103125969,1527.74
22-JUL-2020,2339.25,2351.45,2305.4,2329.95,130213072,2176.54
23-JUL-2020,2335.35,2368.9,2334.95,2362,88838718,2096.51
24-JUL-2020,2356.2,2383.15,2345.1,2379.45,110591927,2084.02
27-JUL-2020,2397.7,2401.05,2358.95,2378.6,77573746,2338.11
28-JUL-2020,2394.5,2415.2,2390.65,2410.3,72058736,1626.23
29-JUL-2020,2423.65,2438.6,2399.15,2404.3,80237378,2187.98
30-JUL-2020,2406.1,2423,2373,2384.95,80999495,2032.25
31-JUL-2020,2401.55,2427.95,2377.45,2419.5,76487120,2326.48
03-AUG-2020,2427.7,2469.55,2425.5,2453.1,74135864,3139.96
04-AUG-2020,2474.7,2492.45,2463.45,2487.7,79098531,2366.12
05-AUG-2020,2503.95,2527.95,2499.4,2524.65,104589368,2919.96
06-AUG-2020,2535.45,2543.65,2517.65,2523.75,85637644,1873.8
07-AUG-2020,2522.8,2550.3,2517.85,2546.5,92991089,1829.9
10-AUG-2020,2557.95,2599.4,2556.25,2598,89154812,2389.51
11-AUG-2020,2619.75,2623.35,2588.85,2592.1,110197459,2181.25
12-AUG-2020,2587.75,2613.1,2570.65,2609.8,168607016,2288.72
13-AUG-2020,2621.45,2651.5,2620.85,2632.65,147266893,2112.37
14-AUG-2020,2646.6,2653.15,2585.15,2606.7,185917006,1963.34
17-AUG-2020,2636.55,2638.65,2593.4,2622.6,106406390,1542.62
18-AUG-2020,2637.85,2666.25,2631.85,2662.05,95175645,1557.34
19-AUG-2020,2679.4,2701.7,2674.7,2691.2,140277561,2475.55
20-AUG-2020,2676.55,2728.85,2670.95,2710.5,129047391,2034.15
21-AUG-2020,2729.8,2753.9,2729.6,2741.55,107858669,2554.37
24-AUG-2020,2766.2,2791.25,2762.65,2780.05,103269686,2620.47
25-AUG-2020,2805.45,2814.35,2773.85,2785.25,110123894,2517.5
26-AUG-2020,2804.7,2820.85,2800.9,2815.15,106771351,2274.82
27-AUG-2020,2837.35,2858.25,2831.4,2837.95,104419047,2975.05
28-AUG-2020,2855.85,2864.25,2824.75,2829.55,95269383,2174.09
31-AUG-2020,2849.65,2853.15,2668,2695.7,109405716,2523.03
01-SEP-2020,2697.2,2725.95,2671.6,2712.55,57718522,1731.65
02-SEP-2020,2721.4,2768.7,2715.1,2764.3,46946710,1695.25
03-SEP-2020,2776.95,2804.55,2773.05,2778.75,55439855,1532.14
04-SEP-2020,2732.05,2776.3,2714.7,2752.2,78712513,2115.17
07-SEP-2020,2761.8,2779.9,2737.5,2756.85,70185723,2157.65
08-SEP-2020,2765.4,2783.6,2731.4,2743,52034002,1936.79
09-SEP-2020,2715.4,2723.25,2674.4,2706.9,54923762,1864.03
10-SEP-2020,2733.4,2766.4,2733.3,2752.3,53913209,1559.01
11-SEP-2020,2762.35,2771.05,2751.05,2765.25,65511555,2193.36
14-SEP-2020,2805.85,2941.15,2805.65,2933.1,95001349,3634.31
15-SEP-2020,2957.6,2985.05,2940.45,2979.45,79643430,2570.39
16-SEP-2020,2993.75,2994.6,2957.5,2980.8,59514381,1984.19
17-SEP-2020,2965.9,2985.6,2953.95,2972.15,58796907,1811.92
18-SEP-2020,2993,3002.8,2957.05,2964.5,90072025,3125.7
21-SEP-2020,2975.8,2984.9,2829.8,2841.1,58792557,2038.78
22-SEP-2020,2840.45,2844.8,2694.3,2793.35,72850369,2309.39
23-SEP-2020,2823.1,2852.45,2770.6,2801.5,42631886,1545.8
24-SEP-2020,2756.1,2758.25,2718.1,2726.15,43059624,1387.42
25-SEP-2020,2761.8,2813.35,2750.45,2808,53167199,1673.41
28-SEP-2020,2845.95,2927.7,2843.45,2921.6,60290425,2893.45
29-SEP-2020,2946.85,2957.65,2902.7,2919.05,55177967,2575.07
30-SEP-2020,2933.2,2935.9,2906.95,2911.4,39210221,1697.41
01-OCT-2020,2954.55,2958.85,2914.35,2920.7,46015525,2515.79
05-OCT-2020,2926.55,2946.4,2920.25,2941.35,51449786,1794.17
06-OCT-2020,2960.05,2972,2950,2960.8,50696305,1520.18
07-OCT-2020,2971.95,2974.6,2942.85,2947.15,38518473,1287.68
08-OCT-2020,2968.1,2975.55,2934.1,2939.8,45415709,1704.42
09-OCT-2020,2949.05,2955.2,2932.35,2937.6,43113150,1250.59
12-OCT-2020,2954.25,2954.95,2918.45,2940.25,41468738,1347.17
13-OCT-2020,2944.85,2954.65,2934.55,2940.85,35360777,1352.25
14-OCT-2020,2942.05,2953.7,2921.6,2947.3,40241895,1413.26
15-OCT-2020,2961,2964.7,2877.4,2886.05,35304733,1424.51
16-OCT-2020,2902.75,2928.65,2856.35,2922.2,33120088,1215.71
19-OCT-2020,2943.05,2948.1,2916.85,2942.9,38464848,1127.61
20-OCT-2020,2940.3,2959.55,2926.4,2951.85,48998562,1407.03
21-OCT-2020,2971.55,2985.6,2914.85,2948.95,41936624,1244.83
22-OCT-2020,2948.45,2987.1,2940.55,2979.25,45206759,1292.11
23-OCT-2020,2997.45,3005.25,2991.05,2996.9,56360388,1282.83
26-OCT-2020,3009.3,3013,2947.3,2954.35,35106442,1169.03
27-OCT-2020,2953.1,2962.4,2915.75,2957.85,35610129,1258.8
28-OCT-2020,2964,2973.5,2926.05,2929.6,35957882,1082.95
29-OCT-2020,2899.1,2914.85,2868.6,2895.3,39696225,1417.27
30-OCT-2020,2907.6,2934.95,2877.35,2888.8,38757723,1268.2
02-NOV-2020,2882.35,2891.55,2847.05,2850.9,37660186,1094.68
03-NOV-2020,2868.9,2877.6,2840.25,2844.8,31506092,936.82
04-NOV-2020,2855.35,2866.25,2830.7,2838.65,35390278,1441.52
05-NOV-2020,2867.1,2895.5,2865.15,2891.3,42662810,1751.85
06-NOV-2020,2912.05,2931.45,2899.6,2902.25,46709347,1570.07
09-NOV-2020,2929.45,2932.55,2896.8,2910.5,46089155,1251.51
10-NOV-2020,2929.8,2932,2890.35,2900.75,74050400,1893.92
11-NOV-2020,2901.35,2934.05,2893.9,2930.15,57895105,1267.87
12-NOV-2020,2939.3,2968.9,2931.2,2963.7,66008310,1501.16
13-NOV-2020,2965.8,2986.65,2959.9,2982.15,40848869,1112.54
14-NOV-2020,3002.25,3007.55,2995.65,3003.9,13754687,278.91
17-NOV-2020,3014.8,3018.65,2986.75,3000.25,63905374,1391.23
18-NOV-2020,3000.8,3017.75,2997.8,3014.7,95473148,1578.62
19-NOV-2020,3006.1,3049.75,2998.1,3009.5,138704742,2021.06
20-NOV-2020,3023.05,3058.85,3019.7,3049.3,128284332,2067.48
23-NOV-2020,3083.75,3119.45,3079.2,3111.5,122465727,2267.95
24-NOV-2020,3141.85,3150.4,3131.65,3146.65,116272007,1917.97
25-NOV-2020,3166.1,3175.6,3113.35,3119.6,85705113,1871.57
26-NOV-2020,3133.55,3149,3105.35,3146.45,64954945,1250.94
27-NOV-2020,3156.25,3265.7,3155.9,3253.1,118279069,2683.88
01-DEC-2020,3283.3,3303.2,3265.5,3290.4,140380505,2038.68
02-DEC-2020,3307.2,3307.6,3270.4,3295.5,119248298,1682.89
